0	root_zhuangtai	Assets/Resources/Prefab/UI/CombatWords/ShengMingHuiFu.prefab	2	1
1	root_zhuangtai	Assets/Resources/Prefab/UI/CombatWords/PuTongShangHai.prefab	3	1
2	root_zhuangtai	Assets/Resources/Prefab/UI/CombatWords/BaoJiShangHai.prefab	4	1
3	root_zhuangtai	Assets/Resources/Prefab/UI/CombatWords/DuoBeiShangHai.prefab	5	1
4	root_zhuangtai	Assets/Resources/Prefab/UI/CombatWords/LingLiHuiFu.prefab	6	1
5	root	Assets/Resources/Prefab/UI/CombatWords/LingLiSunShi.prefab	7	1
6	injured_point	Assets/Resources/Prefab/UI/CombatWords/ZhongDu.prefab	8	1
7	injured_point	Assets/Resources/Prefab/UI/CombatWords/ShanBi.prefab	9	0.2
8	injured_point	Assets/Resources/Prefab/UI/CombatWords/PoJia.prefab	10	0.2
9	injured_point	Assets/Resources/Prefab/UI/CombatWords/GeDang.prefab	11	0.2
